currency,base_currency,currency_name,exchange_rate,date,currency_pair
HKD,EUR,Hong Kong Dollar,10.8729,2009-01-01,EUR/HKD
JPY,EUR,Japanese Yen,122.2,2013-01-25,EUR/JPY
MXN,EUR,Mexican Peso,19.7034,2022-09-21,EUR/MXN
MXN,EUR,Mexican Peso,21.8053,2018-10-14,EUR/MXN
TRY,EUR,Turkish Lira,7.065,2018-10-05,EUR/TRY
CZK,EUR,Czech Republic Koruna,27.0195,2016-11-10,EUR/CZK
GBP,EUR,British Pound Sterling,0.84688,2024-07-04,EUR/GBP
SGD,EUR,Singapore Dollar,1.5392,2019-05-13,EUR/SGD
GBP,EUR,British Pound Sterling,0.6892,2005-12-28,EUR/GBP
CAD,EUR,Canadian Dollar,1.4763,2005-08-01,EUR/CAD
USD,EUR,United States Dollar,1.5641,2008-06-09,EUR/USD
CNY,EUR,Chinese Yuan,8.3998,2012-03-27,EUR/CNY
CAD,EUR,Canadian Dollar,1.47929,2019-07-02,EUR/CAD
CHF,EUR,Swiss Franc,1.0507,2021-11-17,EUR/CHF
ZAR,EUR,South African Rand,19.408481,2025-03-02,EUR/ZAR
DKK,EUR,Danish Krone,7.46443,2025-05-03,EUR/DKK
MXN,EUR,Mexican Peso,18.679635,2024-01-18,EUR/MXN
NZD,EUR,New Zealand Dollar,1.7908,2010-07-08,EUR/NZD
HKD,EUR,Hong Kong Dollar,11.1333,2011-05-27,EUR/HKD
AUD,EUR,Australian Dollar,1.60417,2019-11-08,EUR/AUD
GBP,EUR,British Pound Sterling,0.6832,2006-01-13,EUR/GBP
GBP,EUR,British Pound Sterling,0.833518,2024-11-20,EUR/GBP
DKK,EUR,Danish Krone,7.4384,2017-06-01,EUR/DKK
ZAR,EUR,South African Rand,18.0796,2022-12-29,EUR/ZAR
AUD,EUR,Australian Dollar,1.54111,2021-03-15,EUR/AUD
PLN,EUR,Polish Zloty,4.2009,2017-11-30,EUR/PLN
ZAR,EUR,South African Rand,17.60546,2021-02-17,EUR/ZAR
NOK,EUR,Norwegian Krone,8.2142,2013-11-10,EUR/NOK
CHF,EUR,Swiss Franc,1.5518,2005-08-15,EUR/CHF
PLN,EUR,Polish Zloty,4.245797,2025-09-08,EUR/PLN
SGD,EUR,Singapore Dollar,1.4718,2022-06-06,EUR/SGD
TRY,EUR,Turkish Lira,48.437357,2025-10-13,EUR/TRY
ZAR,EUR,South African Rand,18.04278,2021-03-02,EUR/ZAR
PLN,EUR,Polish Zloty,4.6022,2022-05-25,EUR/PLN
CNY,EUR,Chinese Yuan,7.766388,2024-01-03,EUR/CNY
MXN,EUR,Mexican Peso,17.42915,2014-08-18,EUR/MXN
GBP,EUR,British Pound Sterling,0.681,2006-03-01,EUR/GBP
USD,EUR,United States Dollar,1.3113,2010-12-23,EUR/USD
AUD,EUR,Australian Dollar,1.56487,2018-11-13,EUR/AUD
USD,EUR,United States Dollar,1.21176,2021-02-10,EUR/USD
JPY,EUR,Japanese Yen,135.441,2015-10-06,EUR/JPY
HKD,EUR,Hong Kong Dollar,8.6551,2020-01-16,EUR/HKD
CZK,EUR,Czech Republic Koruna,24.523209,2026-04-01,EUR/CZK
SEK,EUR,Swedish Krona,10.1555,2021-09-14,EUR/SEK
CNY,EUR,Chinese Yuan,7.8452,2018-11-02,EUR/CNY
USD,EUR,United States Dollar,1.297,2005-02-03,EUR/USD
CZK,EUR,Czech Republic Koruna,24.8175,2020-02-17,EUR/CZK
HKD,EUR,Hong Kong Dollar,8.9317,2017-06-29,EUR/HKD
PLN,EUR,Polish Zloty,4.246133,2026-06-08,EUR/PLN
TRY,EUR,Turkish Lira,3.2742,2016-06-21,EUR/TRY
CAD,EUR,Canadian Dollar,1.4277,2006-06-05,EUR/CAD
JPY,EUR,Japanese Yen,135.203,2015-09-02,EUR/JPY
CZK,EUR,Czech Republic Koruna,25.841,2021-04-21,EUR/CZK
TRY,EUR,Turkish Lira,32.888655,2024-01-19,EUR/TRY
NOK,EUR,Norwegian Krone,9.74344,2019-02-07,EUR/NOK
CZK,EUR,Czech Republic Koruna,25.7572,2018-06-07,EUR/CZK
SGD,EUR,Singapore Dollar,1.495995,2025-08-03,EUR/SGD
SEK,EUR,Swedish Krona,10.55019,2019-03-11,EUR/SEK
CHF,EUR,Swiss Franc,1.10442,2016-02-17,EUR/CHF
JPY,EUR,Japanese Yen,119.473,2019-11-14,EUR/JPY
GBP,EUR,British Pound Sterling,0.7889,2008-07-28,EUR/GBP
PLN,EUR,Polish Zloty,4.320705,2024-02-28,EUR/PLN
HKD,EUR,Hong Kong Dollar,11.425,2007-12-03,EUR/HKD
GBP,EUR,British Pound Sterling,0.9104,2020-12-22,EUR/GBP
USD,EUR,United States Dollar,1.3967,2011-07-12,EUR/USD
CHF,EUR,Swiss Franc,1.2012,2012-08-06,EUR/CHF
AUD,EUR,Australian Dollar,1.39774,2017-03-30,EUR/AUD
JPY,EUR,Japanese Yen,143.87,2022-11-10,EUR/JPY
NOK,EUR,Norwegian Krone,9.39281,2016-03-13,EUR/NOK
ZAR,EUR,South African Rand,15.0108,2017-07-03,EUR/ZAR
HKD,EUR,Hong Kong Dollar,9.857,2008-12-05,EUR/HKD
JPY,EUR,Japanese Yen,162.739809,2024-10-21,EUR/JPY
MXN,EUR,Mexican Peso,24.607,2021-01-27,EUR/MXN
NZD,EUR,New Zealand Dollar,1.6838,2011-08-31,EUR/NZD
NZD,EUR,New Zealand Dollar,1.747885,2024-02-25,EUR/NZD
GBP,EUR,British Pound Sterling,0.86316,2023-10-09,EUR/GBP
GBP,EUR,British Pound Sterling,0.6718,2007-02-20,EUR/GBP
GBP,EUR,British Pound Sterling,0.8799,2009-05-25,EUR/GBP
CHF,EUR,Swiss Franc,1.2366,2013-07-24,EUR/CHF
TRY,EUR,Turkish Lira,37.980934,2024-08-25,EUR/TRY
NZD,EUR,New Zealand Dollar,1.66467,2021-05-05,EUR/NZD
CHF,EUR,Swiss Franc,1.5137,2009-09-10,EUR/CHF
NOK,EUR,Norwegian Krone,10.24038,2022-11-13,EUR/NOK
NOK,EUR,Norwegian Krone,11.9002,2023-05-29,EUR/NOK
HKD,EUR,Hong Kong Dollar,9.8894,2006-09-18,EUR/HKD
DKK,EUR,Danish Krone,7.447,2018-02-21,EUR/DKK
AUD,EUR,Australian Dollar,1.55724,2018-06-13,EUR/AUD
SEK,EUR,Swedish Krona,10.40912,2019-04-03,EUR/SEK
MXN,EUR,Mexican Peso,19.5582,2023-05-08,EUR/MXN
SGD,EUR,Singapore Dollar,1.60017,2021-06-29,EUR/SGD
PLN,EUR,Polish Zloty,4.3751,2014-12-26,EUR/PLN
CAD,EUR,Canadian Dollar,1.56318,2020-09-14,EUR/CAD
USD,EUR,United States Dollar,1.173015,2026-01-03,EUR/USD
CHF,EUR,Swiss Franc,1.04713,2015-07-01,EUR/CHF
CHF,EUR,Swiss Franc,1.5459,2005-12-01,EUR/CHF
CZK,EUR,Czech Republic Koruna,26.1461,2017-08-01,EUR/CZK
ZAR,EUR,South African Rand,14.6592,2018-02-12,EUR/ZAR
AUD,EUR,Australian Dollar,1.54359,2022-10-27,EUR/AUD
AUD,EUR,Australian Dollar,1.6216,2005-12-19,EUR/AUD
GBP,EUR,British Pound Sterling,0.6804,2005-05-04,EUR/GBP
AUD,EUR,Australian Dollar,1.66848,2023-10-31,EUR/AUD
GBP,EUR,British Pound Sterling,0.875157,2025-11-27,EUR/GBP
SGD,EUR,Singapore Dollar,1.612,2021-05-28,EUR/SGD
CHF,EUR,Swiss Franc,1.2012,2014-11-18,EUR/CHF
NZD,EUR,New Zealand Dollar,1.7274,2011-12-08,EUR/NZD
CHF,EUR,Swiss Franc,1.06857,2017-04-03,EUR/CHF
PLN,EUR,Polish Zloty,4.4358,2020-12-15,EUR/PLN
USD,EUR,United States Dollar,1.2839,2006-08-16,EUR/USD
ZAR,EUR,South African Rand,13.1531,2015-01-30,EUR/ZAR
ZAR,EUR,South African Rand,19.48642,2020-06-22,EUR/ZAR
CHF,EUR,Swiss Franc,1.5952,2006-11-17,EUR/CHF
CNY,EUR,Chinese Yuan,7.7701,2018-07-09,EUR/CNY
CHF,EUR,Swiss Franc,0.947725,2024-01-20,EUR/CHF
HKD,EUR,Hong Kong Dollar,8.6452,2019-11-07,EUR/HKD
CNY,EUR,Chinese Yuan,7.1403,2016-01-12,EUR/CNY
PLN,EUR,Polish Zloty,4.2877,2019-07-29,EUR/PLN
HKD,EUR,Hong Kong Dollar,10.1177,2013-03-11,EUR/HKD
AUD,EUR,Australian Dollar,1.54957,2021-05-05,EUR/AUD
CZK,EUR,Czech Republic Koruna,24.4094,2023-09-18,EUR/CZK
CZK,EUR,Czech Republic Koruna,25.503,2021-11-30,EUR/CZK
CZK,EUR,Czech Republic Koruna,27.0007,2015-12-13,EUR/CZK
NOK,EUR,Norwegian Krone,9.6052,2018-09-13,EUR/NOK
GBP,EUR,British Pound Sterling,0.6984,2007-10-25,EUR/GBP
USD,EUR,United States Dollar,1.079756,2024-05-13,EUR/USD
DKK,EUR,Danish Krone,7.43604,2021-04-30,EUR/DKK
SEK,EUR,Swedish Krona,10.976327,2025-04-08,EUR/SEK
TRY,EUR,Turkish Lira,16.00232,2022-05-12,EUR/TRY
CHF,EUR,Swiss Franc,1.6249,2008-08-22,EUR/CHF
JPY,EUR,Japanese Yen,172.277693,2025-08-22,EUR/JPY
NOK,EUR,Norwegian Krone,10.394,2021-01-26,EUR/NOK
USD,EUR,United States Dollar,1.057585,2024-12-08,EUR/USD
CNY,EUR,Chinese Yuan,9.8201,2010-01-15,EUR/CNY
DKK,EUR,Danish Krone,7.462102,2024-03-02,EUR/DKK
TRY,EUR,Turkish Lira,48.881171,2025-10-01,EUR/TRY
PLN,EUR,Polish Zloty,4.54412,2020-04-22,EUR/PLN
CZK,EUR,Czech Republic Koruna,25.027412,2024-12-16,EUR/CZK
NOK,EUR,Norwegian Krone,10.49643,2021-08-09,EUR/NOK
TRY,EUR,Turkish Lira,6.2661,2019-03-28,EUR/TRY
AUD,EUR,Australian Dollar,1.4695,2013-08-08,EUR/AUD
HKD,EUR,Hong Kong Dollar,8.7131,2015-06-11,EUR/HKD
TRY,EUR,Turkish Lira,2.7921,2015-04-09,EUR/TRY
NZD,EUR,New Zealand Dollar,2.1451,2008-09-16,EUR/NZD
CHF,EUR,Swiss Franc,1.2987,2011-03-29,EUR/CHF
PLN,EUR,Polish Zloty,4.7208,2022-10-27,EUR/PLN
AUD,EUR,Australian Dollar,1.7399,2009-06-26,EUR/AUD
CAD,EUR,Canadian Dollar,1.54071,2018-06-20,EUR/CAD
CHF,EUR,Swiss Franc,0.928406,2025-12-30,EUR/CHF
USD,EUR,United States Dollar,1.13971,2019-06-24,EUR/USD
CNY,EUR,Chinese Yuan,8.1915,2014-02-04,EUR/CNY
CAD,EUR,Canadian Dollar,1.45805,2023-05-17,EUR/CAD
CHF,EUR,Swiss Franc,1.4829,2009-02-26,EUR/CHF
PLN,EUR,Polish Zloty,4.2275,2018-03-21,EUR/PLN
ZAR,EUR,South African Rand,20.279442,2025-06-08,EUR/ZAR
HKD,EUR,Hong Kong Dollar,10.5446,2014-07-10,EUR/HKD
PLN,EUR,Polish Zloty,4.7104,2022-08-01,EUR/PLN
CZK,EUR,Czech Republic Koruna,27.7313,2014-09-01,EUR/CZK
NOK,EUR,Norwegian Krone,11.608052,2024-04-03,EUR/NOK
PLN,EUR,Polish Zloty,4.4567,2021-06-04,EUR/PLN
CZK,EUR,Czech Republic Koruna,24.384488,2026-05-01,EUR/CZK
SGD,EUR,Singapore Dollar,1.61017,2021-05-13,EUR/SGD
PLN,EUR,Polish Zloty,4.0934,2015-07-17,EUR/PLN
CHF,EUR,Swiss Franc,1.18681,2018-04-13,EUR/CHF
JPY,EUR,Japanese Yen,160.646182,2025-01-30,EUR/JPY
CHF,EUR,Swiss Franc,1.1627,2011-07-26,EUR/CHF
CAD,EUR,Canadian Dollar,1.562,2020-10-06,EUR/CAD
NOK,EUR,Norwegian Krone,10.1523,2019-10-24,EUR/NOK
HKD,EUR,Hong Kong Dollar,8.8766,2019-06-11,EUR/HKD
USD,EUR,United States Dollar,1.13946,2019-01-16,EUR/USD
CHF,EUR,Swiss Franc,1.2009,2012-08-09,EUR/CHF
GBP,EUR,British Pound Sterling,0.7233,2015-03-20,EUR/GBP
ZAR,EUR,South African Rand,20.573007,2025-06-25,EUR/ZAR
HKD,EUR,Hong Kong Dollar,10.2832,2013-08-13,EUR/HKD
JPY,EUR,Japanese Yen,162.19,2008-05-20,EUR/JPY
ZAR,EUR,South African Rand,19.8757,2020-05-08,EUR/ZAR
CHF,EUR,Swiss Franc,0.96485,2023-11-05,EUR/CHF
CNY,EUR,Chinese Yuan,7.6827,2019-05-30,EUR/CNY
NZD,EUR,New Zealand Dollar,1.7603,2011-06-22,EUR/NZD
AUD,EUR,Australian Dollar,1.606,2021-07-19,EUR/AUD
USD,EUR,United States Dollar,1.044191,2025-03-03,EUR/USD
CNY,EUR,Chinese Yuan,7.9231,2013-05-21,EUR/CNY
SEK,EUR,Swedish Krona,10.942723,2026-05-19,EUR/SEK
CHF,EUR,Swiss Franc,1.09648,2017-05-10,EUR/CHF
JPY,EUR,Japanese Yen,141.76,2014-05-02,EUR/JPY
GBP,EUR,British Pound Sterling,0.6803,2007-04-09,EUR/GBP
CAD,EUR,Canadian Dollar,1.46103,2019-07-31,EUR/CAD
CNY,EUR,Chinese Yuan,7.803791,2024-07-01,EUR/CNY
DKK,EUR,Danish Krone,7.43783,2021-04-02,EUR/DKK
AUD,EUR,Australian Dollar,1.6736,2006-08-14,EUR/AUD
AUD,EUR,Australian Dollar,1.55978,2021-12-30,EUR/AUD
CAD,EUR,Canadian Dollar,1.5959,2009-02-24,EUR/CAD
GBP,EUR,British Pound Sterling,0.85122,2017-02-20,EUR/GBP
GBP,EUR,British Pound Sterling,0.92052,2017-08-31,EUR/GBP
NOK,EUR,Norwegian Krone,10.24189,2022-07-11,EUR/NOK
DKK,EUR,Danish Krone,7.446,2020-08-17,EUR/DKK
JPY,EUR,Japanese Yen,183.198352,2026-03-09,EUR/JPY
CAD,EUR,Canadian Dollar,1.5654,2007-03-19,EUR/CAD
NZD,EUR,New Zealand Dollar,1.4835,2017-01-23,EUR/NZD
CAD,EUR,Canadian Dollar,1.3765,2011-07-07,EUR/CAD
CAD,EUR,Canadian Dollar,1.397,2010-11-08,EUR/CAD
GBP,EUR,British Pound Sterling,0.8908,2016-11-03,EUR/GBP
GBP,EUR,British Pound Sterling,0.87474,2018-03-26,EUR/GBP
HKD,EUR,Hong Kong Dollar,10.2916,2013-06-10,EUR/HKD
JPY,EUR,Japanese Yen,135.16,2015-02-13,EUR/JPY
GBP,EUR,British Pound Sterling,0.70076,2015-07-15,EUR/GBP
MXN,EUR,Mexican Peso,24.09007,2021-06-23,EUR/MXN
AUD,EUR,Australian Dollar,1.57391,2018-07-09,EUR/AUD
CNY,EUR,Chinese Yuan,7.447076,2025-02-02,EUR/CNY
CAD,EUR,Canadian Dollar,1.621684,2025-10-08,EUR/CAD
CNY,EUR,Chinese Yuan,8.1629,2013-08-28,EUR/CNY
NOK,EUR,Norwegian Krone,11.888077,2024-09-07,EUR/NOK
AUD,EUR,Australian Dollar,1.448,2010-07-08,EUR/AUD
CNY,EUR,Chinese Yuan,8.1187,2013-04-09,EUR/CNY
HKD,EUR,Hong Kong Dollar,9.37313,2021-02-18,EUR/HKD
CHF,EUR,Swiss Franc,1.2159,2014-04-15,EUR/CHF
MXN,EUR,Mexican Peso,21.2131,2022-05-26,EUR/MXN
CHF,EUR,Swiss Franc,1.155,2018-06-25,EUR/CHF
HKD,EUR,Hong Kong Dollar,8.8046,2021-11-29,EUR/HKD
USD,EUR,United States Dollar,1.15974,2021-10-13,EUR/USD
AUD,EUR,Australian Dollar,1.5925,2019-02-27,EUR/AUD
NZD,EUR,New Zealand Dollar,1.5774,2013-03-15,EUR/NZD
CHF,EUR,Swiss Franc,0.971198,2024-04-20,EUR/CHF
HKD,EUR,Hong Kong Dollar,10.5761,2014-02-07,EUR/HKD
GBP,EUR,British Pound Sterling,0.8408,2016-08-02,EUR/GBP
USD,EUR,United States Dollar,1.5777,2008-03-27,EUR/USD
ZAR,EUR,South African Rand,14.1987,2014-12-25,EUR/ZAR
GBP,EUR,British Pound Sterling,0.8334,2012-03-29,EUR/GBP
PLN,EUR,Polish Zloty,4.243988,2026-06-07,EUR/PLN
CAD,EUR,Canadian Dollar,1.5393,2008-05-19,EUR/CAD
NZD,EUR,New Zealand Dollar,1.65871,2018-01-10,EUR/NZD
MXN,EUR,Mexican Peso,21.766692,2025-03-15,EUR/MXN
CZK,EUR,Czech Republic Koruna,26.1011,2017-08-31,EUR/CZK
ZAR,EUR,South African Rand,16.5415,2019-10-16,EUR/ZAR
HKD,EUR,Hong Kong Dollar,10.7531,2014-05-02,EUR/HKD
CAD,EUR,Canadian Dollar,1.47206,2017-09-21,EUR/CAD
CZK,EUR,Czech Republic Koruna,25.6711,2021-02-08,EUR/CZK
CNY,EUR,Chinese Yuan,7.9654,2021-01-06,EUR/CNY
MXN,EUR,Mexican Peso,22.9861,2018-11-18,EUR/MXN
USD,EUR,United States Dollar,1.2101,2020-12-08,EUR/USD
GBP,EUR,British Pound Sterling,0.7904,2016-03-25,EUR/GBP
DKK,EUR,Danish Krone,7.44212,2023-03-02,EUR/DKK
AUD,EUR,Australian Dollar,1.65627,2019-08-06,EUR/AUD
CAD,EUR,Canadian Dollar,1.50047,2019-02-11,EUR/CAD
USD,EUR,United States Dollar,1.2275,2012-07-19,EUR/USD
CNY,EUR,Chinese Yuan,7.7414,2014-10-10,EUR/CNY
CHF,EUR,Swiss Franc,1.12986,2019-05-15,EUR/CHF
HKD,EUR,Hong Kong Dollar,8.7984,2019-08-12,EUR/HKD
HKD,EUR,Hong Kong Dollar,9.5851,2018-01-22,EUR/HKD
HKD,EUR,Hong Kong Dollar,9.4229,2018-01-02,EUR/HKD
NOK,EUR,Norwegian Krone,11.640179,2024-04-06,EUR/NOK
CAD,EUR,Canadian Dollar,1.5602,2009-08-27,EUR/CAD
USD,EUR,United States Dollar,1.21317,2021-05-10,EUR/USD
GBP,EUR,British Pound Sterling,0.667,2007-02-09,EUR/GBP
CHF,EUR,Swiss Franc,1.5604,2006-05-02,EUR/CHF
CAD,EUR,Canadian Dollar,1.5593,2009-12-07,EUR/CAD
CAD,EUR,Canadian Dollar,1.49766,2024-12-31,EUR/CAD
USD,EUR,United States Dollar,1.15355,2018-10-10,EUR/USD
PLN,EUR,Polish Zloty,4.314631,2024-04-20,EUR/PLN
HKD,EUR,Hong Kong Dollar,10.0185,2008-12-09,EUR/HKD
JPY,EUR,Japanese Yen,157.8,2007-08-27,EUR/JPY
TRY,EUR,Turkish Lira,29.455,2023-10-16,EUR/TRY
GBP,EUR,British Pound Sterling,0.8935,2009-11-13,EUR/GBP
SGD,EUR,Singapore Dollar,1.5928,2015-09-25,EUR/SGD
JPY,EUR,Japanese Yen,165.27,2007-06-15,EUR/JPY
HKD,EUR,Hong Kong Dollar,8.506572,2023-11-21,EUR/HKD
CAD,EUR,Canadian Dollar,1.393,2013-09-27,EUR/CAD
CAD,EUR,Canadian Dollar,1.56529,2020-08-19,EUR/CAD
JPY,EUR,Japanese Yen,132.028,2021-10-27,EUR/JPY
USD,EUR,United States Dollar,1.2063,2006-01-10,EUR/USD
NZD,EUR,New Zealand Dollar,1.6742,2021-02-02,EUR/NZD
HKD,EUR,Hong Kong Dollar,10.0387,2012-10-12,EUR/HKD
CAD,EUR,Canadian Dollar,1.4373,2007-08-24,EUR/CAD
NZD,EUR,New Zealand Dollar,1.7663,2010-05-12,EUR/NZD
JPY,EUR,Japanese Yen,116.84,2019-08-30,EUR/JPY
GBP,EUR,British Pound Sterling,0.863206,2026-05-04,EUR/GBP
NOK,EUR,Norwegian Krone,10.28313,2022-12-04,EUR/NOK
PLN,EUR,Polish Zloty,4.2914,2018-11-22,EUR/PLN
CNY,EUR,Chinese Yuan,7.7905,2019-11-20,EUR/CNY
AUD,EUR,Australian Dollar,1.618095,2023-12-26,EUR/AUD
CHF,EUR,Swiss Franc,1.17706,2018-01-19,EUR/CHF
ZAR,EUR,South African Rand,15.7811,2016-07-25,EUR/ZAR
CNY,EUR,Chinese Yuan,8.2292,2020-07-27,EUR/CNY
CZK,EUR,Czech Republic Koruna,25.089381,2024-09-23,EUR/CZK
CHF,EUR,Swiss Franc,1.1455,2017-08-30,EUR/CHF
USD,EUR,United States Dollar,1.4415,2009-08-03,EUR/USD
NOK,EUR,Norwegian Krone,10.0776,2022-02-22,EUR/NOK
JPY,EUR,Japanese Yen,124.9,2020-09-15,EUR/JPY
PLN,EUR,Polish Zloty,4.6975,2022-02-28,EUR/PLN
ZAR,EUR,South African Rand,17.0789,2016-01-06,EUR/ZAR
NZD,EUR,New Zealand Dollar,1.64501,2016-04-12,EUR/NZD
USD,EUR,United States Dollar,1.22957,2021-01-05,EUR/USD
CZK,EUR,Czech Republic Koruna,27.0105,2015-12-24,EUR/CZK
SGD,EUR,Singapore Dollar,1.6357,2015-08-24,EUR/SGD
GBP,EUR,British Pound Sterling,0.8607,2009-06-01,EUR/GBP
ZAR,EUR,South African Rand,17.5377,2016-02-15,EUR/ZAR
HKD,EUR,Hong Kong Dollar,10.7412,2009-06-22,EUR/HKD
USD,EUR,United States Dollar,1.2664,2014-10-07,EUR/USD
CNY,EUR,Chinese Yuan,7.8055,2019-12-31,EUR/CNY
NZD,EUR,New Zealand Dollar,1.74704,2024-02-23,EUR/NZD
PLN,EUR,Polish Zloty,4.2547,2017-08-02,EUR/PLN
CAD,EUR,Canadian Dollar,1.3142,2012-03-05,EUR/CAD
TRY,EUR,Turkish Lira,9.66345,2021-03-31,EUR/TRY
SGD,EUR,Singapore Dollar,1.42597,2023-02-16,EUR/SGD
USD,EUR,United States Dollar,1.4609,2007-12-05,EUR/USD
MXN,EUR,Mexican Peso,23.4715,2021-07-04,EUR/MXN
JPY,EUR,Japanese Yen,124.29,2010-03-16,EUR/JPY
NZD,EUR,New Zealand Dollar,1.804408,2024-12-09,EUR/NZD
CAD,EUR,Canadian Dollar,1.4551,2007-08-03,EUR/CAD
HKD,EUR,Hong Kong Dollar,8.340383,2024-06-21,EUR/HKD
SGD,EUR,Singapore Dollar,1.609,2021-06-15,EUR/SGD
CHF,EUR,Swiss Franc,0.97414,2023-07-07,EUR/CHF
DKK,EUR,Danish Krone,7.4424,2020-10-15,EUR/DKK
CAD,EUR,Canadian Dollar,1.3714,2010-03-23,EUR/CAD
CZK,EUR,Czech Republic Koruna,27.0195,2016-08-03,EUR/CZK
ZAR,EUR,South African Rand,17.3762,2021-04-09,EUR/ZAR
NOK,EUR,Norwegian Krone,9.9589,2022-01-19,EUR/NOK
CNY,EUR,Chinese Yuan,7.7275,2019-01-23,EUR/CNY
GBP,EUR,British Pound Sterling,0.8342,2012-03-22,EUR/GBP
SEK,EUR,Swedish Krona,10.3784,2022-08-03,EUR/SEK
NZD,EUR,New Zealand Dollar,1.64839,2017-08-29,EUR/NZD
GBP,EUR,British Pound Sterling,0.85099,2026-07-19,EUR/GBP
HKD,EUR,Hong Kong Dollar,9.6689,2018-03-12,EUR/HKD
DKK,EUR,Danish Krone,7.43646,2022-11-28,EUR/DKK
AUD,EUR,Australian Dollar,1.45835,2014-11-19,EUR/AUD
GBP,EUR,British Pound Sterling,0.75714,2016-01-26,EUR/GBP
HKD,EUR,Hong Kong Dollar,9.1815,2018-06-25,EUR/HKD
PLN,EUR,Polish Zloty,4.231436,2025-11-14,EUR/PLN
CAD,EUR,Canadian Dollar,1.512094,2024-08-21,EUR/CAD
GBP,EUR,British Pound Sterling,0.8593,2011-11-23,EUR/GBP
CNY,EUR,Chinese Yuan,8.8888,2010-11-23,EUR/CNY
CHF,EUR,Swiss Franc,1.20091,2014-12-16,EUR/CHF
DKK,EUR,Danish Krone,7.44268,2015-02-17,EUR/DKK
USD,EUR,United States Dollar,1.071364,2024-06-20,EUR/USD
GBP,EUR,British Pound Sterling,0.7918,2012-08-24,EUR/GBP
SGD,EUR,Singapore Dollar,1.613,2014-12-23,EUR/SGD
AUD,EUR,Australian Dollar,1.3079,2011-07-29,EUR/AUD
SEK,EUR,Swedish Krona,10.15646,2021-09-03,EUR/SEK
SEK,EUR,Swedish Krona,9.77087,2016-11-30,EUR/SEK
MXN,EUR,Mexican Peso,18.38895,2014-12-14,EUR/MXN
PLN,EUR,Polish Zloty,4.289579,2025-04-13,EUR/PLN
USD,EUR,United States Dollar,1.3927,2011-03-16,EUR/USD
NOK,EUR,Norwegian Krone,11.593835,2025-05-17,EUR/NOK
USD,EUR,United States Dollar,1.098412,2025-04-04,EUR/USD
SEK,EUR,Swedish Krona,10.17175,2021-09-02,EUR/SEK
AUD,EUR,Australian Dollar,1.48637,2017-08-08,EUR/AUD
CAD,EUR,Canadian Dollar,1.473322,2024-03-11,EUR/CAD
CAD,EUR,Canadian Dollar,1.6083,2008-07-28,EUR/CAD
NZD,EUR,New Zealand Dollar,1.5078,2017-01-09,EUR/NZD
USD,EUR,United States Dollar,1.22098,2018-04-23,EUR/USD
NZD,EUR,New Zealand Dollar,1.6739,2020-01-03,EUR/NZD
GBP,EUR,British Pound Sterling,0.8417,2013-09-24,EUR/GBP
CNY,EUR,Chinese Yuan,8.222401,2025-10-31,EUR/CNY
SGD,EUR,Singapore Dollar,1.406584,2025-01-20,EUR/SGD
NOK,EUR,Norwegian Krone,11.752379,2024-04-21,EUR/NOK
HKD,EUR,Hong Kong Dollar,9.5473,2018-04-25,EUR/HKD
NZD,EUR,New Zealand Dollar,1.6581,2013-07-17,EUR/NZD
GBP,EUR,British Pound Sterling,0.6754,2005-12-02,EUR/GBP
NOK,EUR,Norwegian Krone,11.473667,2025-03-22,EUR/NOK
AUD,EUR,Australian Dollar,1.45795,2015-01-29,EUR/AUD
ZAR,EUR,South African Rand,14.5148,2018-02-15,EUR/ZAR
SEK,EUR,Swedish Krona,11.207075,2024-06-20,EUR/SEK
NOK,EUR,Norwegian Krone,11.197883,2026-03-31,EUR/NOK
HKD,EUR,Hong Kong Dollar,10.7997,2007-09-13,EUR/HKD
HKD,EUR,Hong Kong Dollar,10.1219,2007-01-29,EUR/HKD
CHF,EUR,Swiss Franc,1.4738,2010-01-18,EUR/CHF
ZAR,EUR,South African Rand,15.9467,2017-09-27,EUR/ZAR
CAD,EUR,Canadian Dollar,1.614129,2026-02-03,EUR/CAD
MXN,EUR,Mexican Peso,21.106947,2024-10-13,EUR/MXN
PLN,EUR,Polish Zloty,4.232415,2026-05-07,EUR/PLN
HKD,EUR,Hong Kong Dollar,8.8744,2018-10-31,EUR/HKD
NZD,EUR,New Zealand Dollar,1.593,2012-04-12,EUR/NZD
GBP,EUR,British Pound Sterling,0.86304,2023-08-09,EUR/GBP
GBP,EUR,British Pound Sterling,0.7959,2008-06-05,EUR/GBP
HKD,EUR,Hong Kong Dollar,8.431,2015-04-02,EUR/HKD
CZK,EUR,Czech Republic Koruna,27.0154,2016-07-19,EUR/CZK
DKK,EUR,Danish Krone,7.453523,2024-03-01,EUR/DKK
SGD,EUR,Singapore Dollar,1.62178,2020-09-01,EUR/SGD
JPY,EUR,Japanese Yen,148.81,2006-08-23,EUR/JPY
CNY,EUR,Chinese Yuan,8.1163,2012-10-15,EUR/CNY
CHF,EUR,Swiss Franc,0.932738,2025-08-28,EUR/CHF
SGD,EUR,Singapore Dollar,1.454933,2024-02-17,EUR/SGD
TRY,EUR,Turkish Lira,10.15138,2021-07-13,EUR/TRY
USD,EUR,United States Dollar,1.2961,2007-01-19,EUR/USD
AUD,EUR,Australian Dollar,1.2395,2013-04-10,EUR/AUD
